id,pair_id,model_id,prompt_mode,controller,domain,difficulty,correct,has_max_call,has_min_call,has_expected_call,has_unexpected_call,has_mixed_calls
cf_0028.opponent,cf_0028,qwen25_math7b,bellman,opponent,exploration,2,False,True,False,False,True,False
cf_0029.self,cf_0029,qwen25_math7b,bellman,self,resource_game,2,False,False,False,False,False,False
cf_0029.opponent,cf_0029,qwen25_math7b,bellman,opponent,resource_game,2,False,True,False,False,True,False
cf_0030.self,cf_0030,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0030.opponent,cf_0030,qwen25_math7b,bellman,opponent,abstract_game,3,False,False,True,True,False,False
cf_0031.self,cf_0031,qwen25_math7b,bellman,self,cyber_defense,3,True,False,False,False,False,False
cf_0031.opponent,cf_0031,qwen25_math7b,bellman,opponent,cyber_defense,3,False,True,False,False,True,False
cf_0032.self,cf_0032,qwen25_math7b,bellman,self,tool_agent,3,True,True,False,True,False,False
cf_0032.opponent,cf_0032,qwen25_math7b,bellman,opponent,tool_agent,3,True,False,False,False,False,False
cf_0033.self,cf_0033,qwen25_math7b,bellman,self,logistics,3,True,True,False,True,False,False
cf_0033.opponent,cf_0033,qwen25_math7b,bellman,opponent,logistics,3,False,False,True,True,False,False
cf_0034.self,cf_0034,qwen25_math7b,bellman,self,exploration,3,True,True,False,True,False,False
cf_0034.opponent,cf_0034,qwen25_math7b,bellman,opponent,exploration,3,False,False,True,True,False,False
cf_0035.self,cf_0035,qwen25_math7b,bellman,self,resource_game,3,True,False,False,False,False,False
cf_0035.opponent,cf_0035,qwen25_math7b,bellman,opponent,resource_game,3,True,False,True,True,False,False
cf_0036.self,cf_0036,qwen25_math7b,bellman,self,abstract_game,1,True,True,False,True,False,False
cf_0036.opponent,cf_0036,qwen25_math7b,bellman,opponent,abstract_game,1,False,True,False,False,True,False
cf_0037.self,cf_0037,qwen25_math7b,bellman,self,cyber_defense,1,True,True,False,True,False,False
cf_0037.opponent,cf_0037,qwen25_math7b,bellman,opponent,cyber_defense,1,False,False,False,False,False,False
cf_0038.self,cf_0038,qwen25_math7b,bellman,self,tool_agent,1,True,False,False,False,False,False
cf_0038.opponent,cf_0038,qwen25_math7b,bellman,opponent,tool_agent,1,True,False,True,True,False,False
cf_0039.self,cf_0039,qwen25_math7b,bellman,self,logistics,1,True,False,False,False,False,False
cf_0039.opponent,cf_0039,qwen25_math7b,bellman,opponent,logistics,1,False,True,False,False,True,False
cf_0040.self,cf_0040,qwen25_math7b,bellman,self,exploration,1,False,False,False,False,False,False
cf_0040.opponent,cf_0040,qwen25_math7b,bellman,opponent,exploration,1,True,False,False,False,False,False
cf_0041.self,cf_0041,qwen25_math7b,bellman,self,resource_game,1,True,False,False,False,False,False
cf_0041.opponent,cf_0041,qwen25_math7b,bellman,opponent,resource_game,1,True,False,False,False,False,False
cf_0042.self,cf_0042,qwen25_math7b,bellman,self,abstract_game,2,True,False,False,False,False,False
cf_0042.opponent,cf_0042,qwen25_math7b,bellman,opponent,abstract_game,2,False,False,False,False,False,False
cf_0043.self,cf_0043,qwen25_math7b,bellman,self,cyber_defense,2,True,True,False,True,False,False
cf_0043.opponent,cf_0043,qwen25_math7b,bellman,opponent,cyber_defense,2,False,False,False,False,False,False
cf_0044.self,cf_0044,qwen25_math7b,bellman,self,tool_agent,2,True,True,False,True,False,False
cf_0044.opponent,cf_0044,qwen25_math7b,bellman,opponent,tool_agent,2,False,False,False,False,False,False
cf_0045.self,cf_0045,qwen25_math7b,bellman,self,logistics,2,False,True,False,True,False,False
cf_0045.opponent,cf_0045,qwen25_math7b,bellman,opponent,logistics,2,False,True,False,False,True,False
cf_0046.self,cf_0046,qwen25_math7b,bellman,self,exploration,2,False,True,False,True,False,False
cf_0046.opponent,cf_0046,qwen25_math7b,bellman,opponent,exploration,2,False,False,True,True,False,False
cf_0047.self,cf_0047,qwen25_math7b,bellman,self,resource_game,2,True,False,False,False,False,False
cf_0047.opponent,cf_0047,qwen25_math7b,bellman,opponent,resource_game,2,False,False,False,False,False,False
cf_0048.self,cf_0048,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0048.opponent,cf_0048,qwen25_math7b,bellman,opponent,abstract_game,3,True,False,False,False,False,False
cf_0049.self,cf_0049,qwen25_math7b,bellman,self,cyber_defense,3,False,False,False,False,False,False
cf_0049.opponent,cf_0049,qwen25_math7b,bellman,opponent,cyber_defense,3,False,False,False,False,False,False
cf_0050.self,cf_0050,qwen25_math7b,bellman,self,tool_agent,3,False,True,False,True,False,False
cf_0050.opponent,cf_0050,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,False,False,False,False
cf_0051.self,cf_0051,qwen25_math7b,bellman,self,logistics,3,True,False,False,False,False,False
cf_0051.opponent,cf_0051,qwen25_math7b,bellman,opponent,logistics,3,False,False,True,True,False,False
cf_0052.self,cf_0052,qwen25_math7b,bellman,self,exploration,3,True,False,False,False,False,False
cf_0052.opponent,cf_0052,qwen25_math7b,bellman,opponent,exploration,3,True,False,False,False,False,False
cf_0053.self,cf_0053,qwen25_math7b,bellman,self,resource_game,3,False,True,False,True,False,False
cf_0053.opponent,cf_0053,qwen25_math7b,bellman,opponent,resource_game,3,True,False,False,False,False,False
cf_0054.self,cf_0054,qwen25_math7b,bellman,self,abstract_game,1,False,True,False,True,False,False
cf_0054.opponent,cf_0054,qwen25_math7b,bellman,opponent,abstract_game,1,False,False,False,False,False,False
cf_0055.self,cf_0055,qwen25_math7b,bellman,self,cyber_defense,1,True,False,False,False,False,False
cf_0055.opponent,cf_0055,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,False,False,False,False
cf_0056.self,cf_0056,qwen25_math7b,bellman,self,tool_agent,1,True,True,False,True,False,False
cf_0056.opponent,cf_0056,qwen25_math7b,bellman,opponent,tool_agent,1,False,False,False,False,False,False
cf_0057.self,cf_0057,qwen25_math7b,bellman,self,logistics,1,False,True,False,True,False,False
cf_0057.opponent,cf_0057,qwen25_math7b,bellman,opponent,logistics,1,False,False,False,False,False,False
cf_0058.self,cf_0058,qwen25_math7b,bellman,self,exploration,1,True,False,False,False,False,False
cf_0058.opponent,cf_0058,qwen25_math7b,bellman,opponent,exploration,1,True,False,True,True,False,False
cf_0059.self,cf_0059,qwen25_math7b,bellman,self,resource_game,1,True,False,False,False,False,False
cf_0059.opponent,cf_0059,qwen25_math7b,bellman,opponent,resource_game,1,False,False,True,True,False,False
cf_0060.self,cf_0060,qwen25_math7b,bellman,self,abstract_game,2,True,False,False,False,False,False
cf_0060.opponent,cf_0060,qwen25_math7b,bellman,opponent,abstract_game,2,False,False,False,False,False,False
cf_0061.self,cf_0061,qwen25_math7b,bellman,self,cyber_defense,2,True,True,False,True,False,False
cf_0061.opponent,cf_0061,qwen25_math7b,bellman,opponent,cyber_defense,2,True,False,False,False,False,False
cf_0062.self,cf_0062,qwen25_math7b,bellman,self,tool_agent,2,True,True,False,True,False,False
cf_0062.opponent,cf_0062,qwen25_math7b,bellman,opponent,tool_agent,2,False,True,False,False,True,False
cf_0063.self,cf_0063,qwen25_math7b,bellman,self,logistics,2,True,False,False,False,False,False
cf_0063.opponent,cf_0063,qwen25_math7b,bellman,opponent,logistics,2,False,False,False,False,False,False
cf_0064.self,cf_0064,qwen25_math7b,bellman,self,exploration,2,True,False,False,False,False,False
cf_0064.opponent,cf_0064,qwen25_math7b,bellman,opponent,exploration,2,False,True,False,False,True,False
cf_0065.self,cf_0065,qwen25_math7b,bellman,self,resource_game,2,False,True,False,True,False,False
cf_0065.opponent,cf_0065,qwen25_math7b,bellman,opponent,resource_game,2,False,False,False,False,False,False
cf_0066.self,cf_0066,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0066.opponent,cf_0066,qwen25_math7b,bellman,opponent,abstract_game,3,True,False,False,False,False,False
cf_0067.self,cf_0067,qwen25_math7b,bellman,self,cyber_defense,3,False,True,False,True,False,False
cf_0067.opponent,cf_0067,qwen25_math7b,bellman,opponent,cyber_defense,3,True,True,True,True,True,True
cf_0068.self,cf_0068,qwen25_math7b,bellman,self,tool_agent,3,False,False,False,False,False,False
cf_0068.opponent,cf_0068,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,True,True,False,False
cf_0069.self,cf_0069,qwen25_math7b,bellman,self,logistics,3,True,False,False,False,False,False
cf_0069.opponent,cf_0069,qwen25_math7b,bellman,opponent,logistics,3,False,True,False,False,True,False
cf_0070.self,cf_0070,qwen25_math7b,bellman,self,exploration,3,True,True,False,True,False,False
cf_0070.opponent,cf_0070,qwen25_math7b,bellman,opponent,exploration,3,False,False,False,False,False,False
cf_0071.self,cf_0071,qwen25_math7b,bellman,self,resource_game,3,True,True,False,True,False,False
cf_0071.opponent,cf_0071,qwen25_math7b,bellman,opponent,resource_game,3,False,True,False,False,True,False
cf_0072.self,cf_0072,qwen25_math7b,bellman,self,abstract_game,1,False,True,False,True,False,False
cf_0072.opponent,cf_0072,qwen25_math7b,bellman,opponent,abstract_game,1,True,False,False,False,False,False
cf_0073.self,cf_0073,qwen25_math7b,bellman,self,cyber_defense,1,True,True,False,True,False,False
cf_0073.opponent,cf_0073,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,True,True,False,False
cf_0074.self,cf_0074,qwen25_math7b,bellman,self,tool_agent,1,False,False,False,False,False,False
cf_0074.opponent,cf_0074,qwen25_math7b,bellman,opponent,tool_agent,1,True,False,False,False,False,False
cf_0075.self,cf_0075,qwen25_math7b,bellman,self,logistics,1,True,False,False,False,False,False
cf_0075.opponent,cf_0075,qwen25_math7b,bellman,opponent,logistics,1,True,False,False,False,False,False
cf_0076.self,cf_0076,qwen25_math7b,bellman,self,exploration,1,True,True,False,True,False,False
cf_0076.opponent,cf_0076,qwen25_math7b,bellman,opponent,exploration,1,True,False,False,False,False,False
cf_0077.self,cf_0077,qwen25_math7b,bellman,self,resource_game,1,False,False,False,False,False,False
cf_0077.opponent,cf_0077,qwen25_math7b,bellman,opponent,resource_game,1,False,False,False,False,False,False
cf_0078.self,cf_0078,qwen25_math7b,bellman,self,abstract_game,2,True,True,False,True,False,False
cf_0078.opponent,cf_0078,qwen25_math7b,bellman,opponent,abstract_game,2,False,False,False,False,False,False
cf_0079.self,cf_0079,qwen25_math7b,bellman,self,cyber_defense,2,False,True,False,True,False,False
cf_0079.opponent,cf_0079,qwen25_math7b,bellman,opponent,cyber_defense,2,False,False,True,True,False,False
cf_0080.self,cf_0080,qwen25_math7b,bellman,self,tool_agent,2,True,True,False,True,False,False
cf_0080.opponent,cf_0080,qwen25_math7b,bellman,opponent,tool_agent,2,False,False,False,False,False,False
cf_0081.self,cf_0081,qwen25_math7b,bellman,self,logistics,2,False,True,False,True,False,False
cf_0081.opponent,cf_0081,qwen25_math7b,bellman,opponent,logistics,2,True,False,False,False,False,False
cf_0082.self,cf_0082,qwen25_math7b,bellman,self,exploration,2,True,True,False,True,False,False
cf_0082.opponent,cf_0082,qwen25_math7b,bellman,opponent,exploration,2,False,False,False,False,False,False
cf_0083.self,cf_0083,qwen25_math7b,bellman,self,resource_game,2,False,True,False,True,False,False
cf_0083.opponent,cf_0083,qwen25_math7b,bellman,opponent,resource_game,2,False,False,False,False,False,False
cf_0084.self,cf_0084,qwen25_math7b,bellman,self,abstract_game,3,True,True,False,True,False,False
cf_0084.opponent,cf_0084,qwen25_math7b,bellman,opponent,abstract_game,3,False,True,False,False,True,False
cf_0085.self,cf_0085,qwen25_math7b,bellman,self,cyber_defense,3,True,False,False,False,False,False
cf_0085.opponent,cf_0085,qwen25_math7b,bellman,opponent,cyber_defense,3,False,False,False,False,False,False
cf_0086.self,cf_0086,qwen25_math7b,bellman,self,tool_agent,3,True,True,False,True,False,False
cf_0086.opponent,cf_0086,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,True,True,False,False
cf_0087.self,cf_0087,qwen25_math7b,bellman,self,logistics,3,True,False,False,False,False,False
cf_0087.opponent,cf_0087,qwen25_math7b,bellman,opponent,logistics,3,False,False,True,True,False,False
cf_0088.self,cf_0088,qwen25_math7b,bellman,self,exploration,3,True,False,False,False,False,False
cf_0088.opponent,cf_0088,qwen25_math7b,bellman,opponent,exploration,3,False,False,False,False,False,False
cf_0089.self,cf_0089,qwen25_math7b,bellman,self,resource_game,3,True,False,False,False,False,False
cf_0089.opponent,cf_0089,qwen25_math7b,bellman,opponent,resource_game,3,False,False,False,False,False,False
cf_0090.self,cf_0090,qwen25_math7b,bellman,self,abstract_game,1,True,False,False,False,False,False
cf_0090.opponent,cf_0090,qwen25_math7b,bellman,opponent,abstract_game,1,False,False,True,True,False,False
cf_0091.self,cf_0091,qwen25_math7b,bellman,self,cyber_defense,1,True,True,False,True,False,False
cf_0091.opponent,cf_0091,qwen25_math7b,bellman,opponent,cyber_defense,1,False,False,False,False,False,False
cf_0092.self,cf_0092,qwen25_math7b,bellman,self,tool_agent,1,True,True,False,True,False,False
cf_0092.opponent,cf_0092,qwen25_math7b,bellman,opponent,tool_agent,1,False,False,False,False,False,False
cf_0093.self,cf_0093,qwen25_math7b,bellman,self,logistics,1,True,False,False,False,False,False
cf_0093.opponent,cf_0093,qwen25_math7b,bellman,opponent,logistics,1,False,False,False,False,False,False
cf_0094.self,cf_0094,qwen25_math7b,bellman,self,exploration,1,True,True,False,True,False,False
cf_0094.opponent,cf_0094,qwen25_math7b,bellman,opponent,exploration,1,True,False,False,False,False,False
cf_0095.self,cf_0095,qwen25_math7b,bellman,self,resource_game,1,True,False,False,False,False,False
cf_0095.opponent,cf_0095,qwen25_math7b,bellman,opponent,resource_game,1,True,False,False,False,False,False
cf_0096.self,cf_0096,qwen25_math7b,bellman,self,abstract_game,2,False,True,False,True,False,False
cf_0096.opponent,cf_0096,qwen25_math7b,bellman,opponent,abstract_game,2,True,True,False,False,True,False
cf_0097.self,cf_0097,qwen25_math7b,bellman,self,cyber_defense,2,False,True,False,True,False,False
cf_0097.opponent,cf_0097,qwen25_math7b,bellman,opponent,cyber_defense,2,True,False,False,False,False,False
cf_0098.self,cf_0098,qwen25_math7b,bellman,self,tool_agent,2,True,False,False,False,False,False
cf_0098.opponent,cf_0098,qwen25_math7b,bellman,opponent,tool_agent,2,False,False,True,True,False,False
cf_0099.self,cf_0099,qwen25_math7b,bellman,self,logistics,2,False,True,False,True,False,False
cf_0099.opponent,cf_0099,qwen25_math7b,bellman,opponent,logistics,2,True,False,True,True,False,False
cf_0100.self,cf_0100,qwen25_math7b,bellman,self,exploration,2,False,True,False,True,False,False
cf_0100.opponent,cf_0100,qwen25_math7b,bellman,opponent,exploration,2,True,False,False,False,False,False
cf_0101.self,cf_0101,qwen25_math7b,bellman,self,resource_game,2,True,True,False,True,False,False
cf_0101.opponent,cf_0101,qwen25_math7b,bellman,opponent,resource_game,2,False,True,False,False,True,False
cf_0102.self,cf_0102,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0102.opponent,cf_0102,qwen25_math7b,bellman,opponent,abstract_game,3,False,False,False,False,False,False
cf_0103.self,cf_0103,qwen25_math7b,bellman,self,cyber_defense,3,False,True,False,True,False,False
cf_0103.opponent,cf_0103,qwen25_math7b,bellman,opponent,cyber_defense,3,False,True,False,False,True,False
cf_0104.self,cf_0104,qwen25_math7b,bellman,self,tool_agent,3,True,False,False,False,False,False
cf_0104.opponent,cf_0104,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,False,False,False,False
cf_0105.self,cf_0105,qwen25_math7b,bellman,self,logistics,3,True,True,False,True,False,False
cf_0105.opponent,cf_0105,qwen25_math7b,bellman,opponent,logistics,3,False,False,False,False,False,False
cf_0106.self,cf_0106,qwen25_math7b,bellman,self,exploration,3,True,True,False,True,False,False
cf_0106.opponent,cf_0106,qwen25_math7b,bellman,opponent,exploration,3,False,False,False,False,False,False
cf_0107.self,cf_0107,qwen25_math7b,bellman,self,resource_game,3,False,False,False,False,False,False
cf_0107.opponent,cf_0107,qwen25_math7b,bellman,opponent,resource_game,3,False,True,False,False,True,False
cf_0108.self,cf_0108,qwen25_math7b,bellman,self,abstract_game,1,True,False,False,False,False,False
cf_0108.opponent,cf_0108,qwen25_math7b,bellman,opponent,abstract_game,1,False,False,False,False,False,False
cf_0109.self,cf_0109,qwen25_math7b,bellman,self,cyber_defense,1,True,False,False,False,False,False
cf_0109.opponent,cf_0109,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,False,False,False,False
cf_0110.self,cf_0110,qwen25_math7b,bellman,self,tool_agent,1,False,False,False,False,False,False
cf_0110.opponent,cf_0110,qwen25_math7b,bellman,opponent,tool_agent,1,False,True,True,True,True,True
cf_0111.self,cf_0111,qwen25_math7b,bellman,self,logistics,1,True,True,False,True,False,False
cf_0111.opponent,cf_0111,qwen25_math7b,bellman,opponent,logistics,1,True,False,False,False,False,False
cf_0112.self,cf_0112,qwen25_math7b,bellman,self,exploration,1,True,False,False,False,False,False
cf_0112.opponent,cf_0112,qwen25_math7b,bellman,opponent,exploration,1,True,False,False,False,False,False
cf_0113.self,cf_0113,qwen25_math7b,bellman,self,resource_game,1,False,False,False,False,False,False
cf_0113.opponent,cf_0113,qwen25_math7b,bellman,opponent,resource_game,1,False,True,False,False,True,False
cf_0114.self,cf_0114,qwen25_math7b,bellman,self,abstract_game,2,True,False,False,False,False,False
cf_0114.opponent,cf_0114,qwen25_math7b,bellman,opponent,abstract_game,2,False,True,False,False,True,False
cf_0115.self,cf_0115,qwen25_math7b,bellman,self,cyber_defense,2,True,True,False,True,False,False
cf_0115.opponent,cf_0115,qwen25_math7b,bellman,opponent,cyber_defense,2,True,False,False,False,False,False
cf_0116.self,cf_0116,qwen25_math7b,bellman,self,tool_agent,2,True,False,False,False,False,False
cf_0116.opponent,cf_0116,qwen25_math7b,bellman,opponent,tool_agent,2,False,False,False,False,False,False
cf_0117.self,cf_0117,qwen25_math7b,bellman,self,logistics,2,False,True,False,True,False,False
cf_0117.opponent,cf_0117,qwen25_math7b,bellman,opponent,logistics,2,True,False,False,False,False,False
cf_0118.self,cf_0118,qwen25_math7b,bellman,self,exploration,2,True,True,False,True,False,False
cf_0118.opponent,cf_0118,qwen25_math7b,bellman,opponent,exploration,2,True,True,False,False,True,False
cf_0119.self,cf_0119,qwen25_math7b,bellman,self,resource_game,2,True,True,False,True,False,False
cf_0119.opponent,cf_0119,qwen25_math7b,bellman,opponent,resource_game,2,False,False,False,False,False,False
cf_0120.self,cf_0120,qwen25_math7b,bellman,self,abstract_game,3,True,False,False,False,False,False
cf_0120.opponent,cf_0120,qwen25_math7b,bellman,opponent,abstract_game,3,False,False,False,False,False,False
cf_0121.self,cf_0121,qwen25_math7b,bellman,self,cyber_defense,3,True,False,False,False,False,False
cf_0121.opponent,cf_0121,qwen25_math7b,bellman,opponent,cyber_defense,3,False,True,False,False,True,False
cf_0122.self,cf_0122,qwen25_math7b,bellman,self,tool_agent,3,True,False,False,False,False,False
cf_0122.opponent,cf_0122,qwen25_math7b,bellman,opponent,tool_agent,3,False,False,False,False,False,False
cf_0123.self,cf_0123,qwen25_math7b,bellman,self,logistics,3,False,False,False,False,False,False
cf_0123.opponent,cf_0123,qwen25_math7b,bellman,opponent,logistics,3,False,False,False,False,False,False
cf_0124.self,cf_0124,qwen25_math7b,bellman,self,exploration,3,False,False,False,False,False,False
cf_0124.opponent,cf_0124,qwen25_math7b,bellman,opponent,exploration,3,False,False,False,False,False,False
cf_0125.self,cf_0125,qwen25_math7b,bellman,self,resource_game,3,False,False,False,False,False,False
cf_0125.opponent,cf_0125,qwen25_math7b,bellman,opponent,resource_game,3,False,False,False,False,False,False
cf_0126.self,cf_0126,qwen25_math7b,bellman,self,abstract_game,1,True,False,False,False,False,False
cf_0126.opponent,cf_0126,qwen25_math7b,bellman,opponent,abstract_game,1,False,False,False,False,False,False
cf_0127.self,cf_0127,qwen25_math7b,bellman,self,cyber_defense,1,True,False,False,False,False,False
cf_0127.opponent,cf_0127,qwen25_math7b,bellman,opponent,cyber_defense,1,True,False,False,False,False,False
cf_0128.self,cf_0128,qwen25_math7b,bellman,self,tool_agent,1,True,True,False,True,False,False
cf_0128.opponent,cf_0128,qwen25_math7b,bellman,opponent,tool_agent,1,False,False,False,False,False,False
cf_0129.self,cf_0129,qwen25_math7b,bellman,self,logistics,1,True,True,False,True,False,False
cf_0129.opponent,cf_0129,qwen25_math7b,bellman,opponent,logistics,1,False,True,False,False,True,False
cf_0130.self,cf_0130,qwen25_math7b,bellman,self,exploration,1,True,False,False,False,False,False
cf_0130.opponent,cf_0130,qwen25_math7b,bellman,opponent,exploration,1,True,False,True,True,False,False
cf_0131.self,cf_0131,qwen25_math7b,bellman,self,resource_game,1,True,False,False,False,False,False
cf_0131.opponent,cf_0131,qwen25_math7b,bellman,opponent,resource_game,1,True,False,False,False,False,False
cf_0132.self,cf_0132,qwen25_math7b,bellman,self,abstract_game,2,True,True,False,True,False,False
cf_0132.opponent,cf_0132,qwen25_math7b,bellman,opponent,abstract_game,2,True,False,False,False,False,False
cf_0133.self,cf_0133,qwen25_math7b,bellman,self,cyber_defense,2,False,True,False,True,False,False
cf_0133.opponent,cf_0133,qwen25_math7b,bellman,opponent,cyber_defense,2,False,False,False,False,False,False
cf_0134.self,cf_0134,qwen25_math7b,bellman,self,tool_agent,2,False,True,False,True,False,False
cf_0134.opponent,cf_0134,qwen25_math7b,bellman,opponent,tool_agent,2,True,False,False,False,False,False
cf_0135.self,cf_0135,qwen25_math7b,bellman,self,logistics,2,False,True,False,True,False,False
cf_0135.opponent,cf_0135,qwen25_math7b,bellman,opponent,logistics,2,False,False,False,False,False,False
cf_0136.self,cf_0136,qwen25_math7b,bellman,self,exploration,2,False,False,False,False,False,False
cf_0136.opponent,cf_0136,qwen25_math7b,bellman,opponent,exploration,2,True,True,False,False,True,False
cf_0137.self,cf_0137,qwen25_math7b,bellman,self,resource_game,2,False,True,False,True,False,False
